cn101_cn107_17486 1	34.768949	11902.068000	0.168000	0.018000	11937.022949	S	8417	0
cn101_cn107_17493 1	35.033127	11901.872000	0.224000	0.001000	11937.130127	S	8419	0
cn101_cn107_17502 1	34.540895	11902.808000	0.466000	0.002000	11937.816895	S	8420	0
cn101_cn107_17514 1	32.460018	11920.708000	1.798000	0.002000	11954.968018	S	8421	0
cn101_cn107_17515 1	32.533992	11922.748000	0.133000	0.002000	11955.416992	S	8422	0
cn101_cn107_17516 1	32.998926	11922.653000	0.120000	0.002000	11955.773926	S	8423	0
cn101_cn107_17517 1	33.519068	11922.558000	0.117000	0.001000	11956.195068	S	8424	0
cn101_cn107_17518 1	33.881016	11922.682000	0.101000	0.002000	11956.666016	S	8425	0
cn101_cn107_17519 1	34.098949	11922.781000	0.141000	0.002000	11957.022949	S	8426	0
cn101_cn107_17520 1	33.818020	11923.073000	0.127000	0.002000	11957.020020	S	8429	0
cn101_cn107_17521 1	34.129197	11923.148000	0.098000	0.002000	11957.377197	S	8430	0
cn101_cn107_17522 1	35.124941	11921.978000	0.210000	0.002000	11957.314941	S	8432	0
cn101_cn107_17523 1	35.708137	11921.662000	0.144000	0.001000	11957.515137	S	8433	0
cn101_cn107_17524 1	35.865873	11921.758000	0.120000	0.001000	11957.744873	S	8434	0
cn101_cn107_17525 1	36.700121	11921.404000	0.119000	0.001000	11958.224121	S	8435	0
cn101_cn107_17526 1	37.275141	11921.109000	0.108000	0.002000	11958.494141	S	8436	0
cn101_cn107_17547 1	36.303176	11921.505000	0.745000	0.002000	11958.555176	S	8440	0
cn101_cn107_17548 1	36.317918	11922.182000	0.189000	0.002000	11958.690918	S	8441	0
cn101_cn107_17554 1	35.647061	11923.314000	0.149000	0.002000	11959.112061	S	8442	0
cn101_cn107_17557 1	36.520885	11922.634000	0.151000	0.001000	11959.306885	S	8444	0
cn107_cn107_4564 0	2.879932	12000.953000	0.097000	0.000000	12003.929932	S	9324	3072
cn107_cn107_4700 0	2.587008	11999.528000	0.093000	0.000000	12002.208008	S	9459	3072
cn101_cn107_17589 1	40.108131	14897.567000	0.308000	0.001000	14937.984131	S	8449	0
cn101_cn107_17590 1	39.759912	14898.489000	0.159000	0.002000	14938.409912	S	8450	0
cn101_cn107_17582 1	42.370855	14896.992000	0.288000	0.001000	14939.651855	S	8448	0
cn101_cn107_17594 1	40.502965	14898.986000	0.323000	0.002000	14939.813965	S	8452	0
cn101_cn107_17598 1	40.639996	14899.481000	0.148000	0.002000	14940.270996	S	8456	0
cn101_cn107_17591 1	41.861955	14899.694000	0.121000	0.002000	14941.678955	S	8451	0
cn101_cn107_17601 1	41.473957	14899.580000	0.176000	0.001000	14941.230957	S	8457	0
cn101_cn107_17605 1	41.488018	14899.444000	0.535000	0.001000	14941.468018	S	8459	0
cn101_cn107_17602 1	42.115979	14899.782000	0.153000	0.002000	14942.052979	S	8458	0
cn101_cn107_17606 1	42.390029	14899.693000	0.195000	0.002000	14942.280029	S	8460	0
cn101_cn107_17596 1	43.409105	14901.014000	0.134000	0.001000	14944.558105	S	8455	0
cn101_cn107_17612 1	43.261100	14900.467000	0.173000	0.001000	14943.902100	S	8464	0
cn101_cn107_17616 1	43.608842	14900.856000	0.197000	0.001000	14944.662842	S	8465	0
cn101_cn107_17620 1	43.907117	14900.419000	0.168000	0.001000	14944.495117	S	8468	0
cn101_cn107_17621 1	44.242949	14900.209000	0.194000	0.002000	14944.647949	S	8469	0
cn101_cn107_17610 1	44.658096	14900.947000	0.191000	0.002000	14945.798096	S	8463	0
cn101_cn107_17628 1	44.809822	14899.358000	0.348000	0.002000	14944.517822	S	8474	0
cn101_cn107_17629 1	44.575064	14899.824000	0.190000	0.002000	14944.591064	S	8475	0
cn101_cn107_17625 1	46.128867	14899.260000	0.199000	0.001000	14945.588867	S	8470	0
cn101_cn107_17608 1	46.508998	14900.496000	0.191000	0.002000	14947.197998	S	8462	0
cn101_cn107_17678 1	45.506949	14899.249000	0.389000	0.003000	14945.147949	S	8478	0
cn101_cn107_17679 1	45.731781	14899.428000	0.139000	0.002000	14945.300781	S	8479	0
cn101_cn107_17667 1	45.745969	14899.985000	0.184000	0.003000	14945.917969	S	8476	0
cn101_cn107_17690 1	45.682145	14899.904000	0.136000	0.001000	14945.723145	S	8480	0
cn101_cn107_17696 1	41.759223	14911.892000	0.150000	0.002000	14953.803223	S	8483	0
cn101_cn107_17739 1	45.299137	14919.707000	0.133000	0.001000	14965.140137	S	8486	0
cn101_cn107_17749 1	45.550090	14918.391000	1.699000	0.002000	14965.642090	S	8488	0
cn101_cn107_17750 1	45.504021	14920.272000	0.169000	0.002000	14965.947021	S	8490	0
cn101_cn107_17751 1	46.395973	14919.715000	0.160000	0.001000	14966.271973	S	8491	0
cn101_cn107_17752 1	46.778875	14919.916000	0.225000	0.002000	14966.921875	S	8492	0
cn101_cn107_17753 1	47.010930	14919.929000	0.187000	0.001000	14967.127930	S	8494	0
cn101_cn107_17760 1	47.320945	14919.151000	0.945000	0.002000	14967.418945	S	8495	0
cn101_cn107_17761 1	47.348986	14919.866000	0.169000	0.002000	14967.385986	S	8498	0
cn101_cn107_17762 1	47.492766	14919.942000	0.199000	0.001000	14967.634766	S	8499	0
cn101_cn107_17763 1	47.784174	14919.816000	0.151000	0.002000	14967.753174	S	8500	0
cn101_cn107_17768 1	46.807145	14921.231000	0.183000	0.002000	14968.223145	S	8502	0
cn101_cn107_17770 1	46.854129	14921.553000	0.148000	0.002000	14968.557129	S	8503	0
cn101_cn107_17771 1	47.415900	14921.204000	0.226000	0.002000	14968.847900	S	8504	0
cn101_cn107_17777 1	47.365963	14921.545000	0.224000	0.002000	14969.136963	S	8505	0
cn101_cn107_17798 1	47.342037	14920.865000	1.154000	0.002000	14969.363037	S	8506	0
cn101_cn107_17799 1	47.506971	14921.875000	0.211000	0.002000	14969.594971	S	8507	0
cn101_cn107_17800 1	47.523018	14922.111000	0.208000	0.001000	14969.843018	S	8508	0
cn101_cn107_17801 1	47.525979	14922.326000	0.199000	0.002000	14970.052979	S	8509	0
cn101_cn107_17802 1	47.326023	14922.745000	0.177000	0.001000	14970.249023	S	8510	0
cn101_cn107_17803 1	47.175029	14923.156000	0.197000	0.002000	14970.530029	S	8511	0
cn101_cn107_17804 1	47.312066	14923.136000	0.194000	0.001000	14970.643066	S	8512	0
cn101_cn107_17805 1	47.215836	14923.341000	0.198000	0.002000	14970.756836	S	8513	0
cn101_cn107_17806 1	48.453100	14922.743000	0.204000	0.002000	14971.402100	S	8514	0
cn101_cn107_17807 1	46.489818	14924.964000	0.208000	0.002000	14971.663818	S	8515	0
cn101_cn107_17808 1	46.209076	14925.428000	0.265000	0.001000	14971.903076	S	8516	0
cn101_cn107_17809 1	45.997096	14925.633000	0.166000	0.002000	14971.798096	S	8519	0
cn101_cn107_17810 1	45.947199	14925.952000	0.153000	0.002000	14972.054199	S	8520	0
cn101_cn107_17811 1	45.982189	14926.151000	0.159000	0.002000	14972.294189	S	8521	0
cn101_cn107_17812 1	45.977955	14926.386000	0.188000	0.002000	14972.553955	S	8522	0
cn101_cn107_17813 1	46.036109	14926.590000	0.159000	0.002000	14972.787109	S	8523	0
cn101_cn107_17814 1	45.695113	14927.027000	0.167000	0.002000	14972.891113	S	8525	0
cn101_cn107_17815 1	45.598141	14927.341000	0.178000	0.002000	14973.119141	S	8526	0
cn101_cn107_17820 1	46.877984	14926.448000	0.132000	0.001000	14973.458984	S	8527	0
