cn102_cn102_325 0	8.057861	2.681000	0.110000	0.000000	8.057861	1753	512	s	1357320436537.504883	1357320436529.447021
cn106_cn102_256 1	8.608887	2.658000	0.098000	0.000000	8.608887	1751	2048	s	1357320436537.823975	1357320436529.215088
cn104_cn102_273 2	9.080078	1.884000	0.099000	0.000000	9.080078	1750	1024	s	1357320436538.141113	1357320436529.061035
cn101_cn102_3054 1	27.604004	11.169000	0.171000	0.000000	27.604004	1694	0	s	1357320436538.514893	1357320436510.910889
cn101_cn102_3055 1	27.826904	10.340000	0.166000	0.000000	27.826904	1695	0	s	1357320436538.900879	1357320436511.073975
cn101_cn102_3049 1	28.667969	10.645000	1.690000	0.000000	28.667969	1692	0	s	1357320436539.346924	1357320436510.678955
cn101_cn102_3052 1	29.063965	11.974000	0.203000	0.000000	29.063965	1693	0	s	1357320436539.833984	1357320436510.770020
cn104_cn102_275 2	10.645996	2.006000	0.116000	0.000000	10.645996	1755	1024	s	1357320436540.361084	1357320436529.715088
cn101_cn102_3058 1	29.479004	9.496000	1.166000	0.000000	29.479004	1696	0	s	1357320436540.654053	1357320436511.175049
cn101_cn102_3059 1	29.510986	10.104000	0.211000	0.000000	29.510986	1697	0	s	1357320436540.945068	1357320436511.434082
cn101_cn102_3060 1	28.970947	9.336000	0.156000	0.000000	28.970947	1698	0	s	1357320436541.253906	1357320436512.282959
cn101_cn102_3062 1	29.031006	9.214000	0.257000	0.000000	29.031006	1699	0	s	1357320436541.458984	1357320436512.427979
cn101_cn102_3063 1	28.618896	9.161000	0.316000	0.000000	28.618896	1703	0	s	1357320436541.907959	1357320436513.289062
cn101_cn102_3065 1	29.499023	8.022000	0.181000	0.000000	29.499023	1702	0	s	1357320436542.694092	1357320436513.195068
cn101_cn102_3069 1	29.632080	7.936000	0.643000	0.000000	29.632080	1704	0	s	1357320436543.000977	1357320436513.368896
cn101_cn102_3080 1	29.444092	9.578000	0.810000	0.000000	29.444092	1707	0	s	1357320436543.641113	1357320436514.197021
cn104_cn102_277 2	8.806885	1.287000	0.093000	0.000000	8.806885	1776	1024	s	1357320436544.577881	1357320436535.770996
cn101_cn102_3083 1	30.390869	10.547000	0.612000	0.000000	30.390869	1708	0	s	1357320436545.052979	1357320436514.662109
cn102_cn102_372 0	8.649902	1.480000	0.311000	0.000000	8.649902	1780	512	s	1357320436545.574951	1357320436536.925049
cn101_cn102_3089 1	31.217041	11.517000	0.356000	0.000000	31.217041	1709	0	s	1357320436546.049072	1357320436514.832031
cn101_cn102_3090 1	31.312012	11.490000	0.153000	0.000000	31.312012	1711	0	s	1357320436546.323975	1357320436515.011963
cn101_cn102_3094 1	32.656982	13.287000	0.554000	0.000000	32.656982	1713	0	s	1357320436548.655029	1357320436515.998047
cn106_cn102_260 1	9.818115	3.337000	0.099000	0.000000	9.818115	1786	2048	s	1357320436549.207031	1357320436539.388916
cn101_cn102_3098 1	33.074219	10.228000	0.145000	0.000000	33.074219	1715	0	s	1357320436549.704102	1357320436516.629883
cn107_cn102_18 1	10.071045	3.169000	0.056000	0.000000	10.071045	1789	3072	s	1357320436550.332031	1357320436540.260986
cn102_cn102_392 0	9.536133	2.651000	0.292000	0.000000	9.536133	1791	512	s	1357320436550.849121	1357320436541.312988
cn104_cn102_279 2	8.987061	2.897000	0.097000	0.000000	8.987061	1794	1024	s	1357320436551.282959	1357320436542.295898
cn106_cn102_262 1	8.258789	3.008000	0.096000	0.000000	8.258789	1796	2048	s	1357320436551.701904	1357320436543.443115
cn102_cn102_413 0	7.687988	2.799000	0.261000	0.000000	7.687988	1799	512	s	1357320436552.122070	1357320436544.434082
cn101_cn102_3116 1	33.473877	9.187000	0.515000	0.000000	33.473877	1721	0	s	1357320436552.741943	1357320436519.268066
cn102_cn102_418 0	8.442871	2.859000	0.416000	0.000000	8.442871	1800	512	s	1357320436553.149902	1357320436544.707031
cn106_cn102_264 1	8.323975	2.939000	0.104000	0.000000	8.323975	1801	2048	s	1357320436553.577881	1357320436545.253906
cn104_cn102_281 1	7.961182	2.589000	0.118000	0.000000	7.961182	1805	1024	s	1357320436554.382080	1357320436546.420898
cn101_cn102_3130 1	33.859131	8.118000	0.261000	0.000000	33.859131	1725	0	s	1357320436554.905029	1357320436521.045898
cn101_cn102_3136 1	31.572021	8.271000	0.160000	0.000000	31.572021	1727	0	s	1357320436555.418945	1357320436523.846924
cn102_cn102_436 0	7.831055	2.457000	0.118000	0.000000	7.831055	1812	512	s	1357320436555.802979	1357320436547.971924
cn101_cn102_3137 1	32.079834	6.680000	0.117000	0.000000	32.079834	1728	0	s	1357320436556.251953	1357320436524.172119
cn101_cn102_3139 1	32.197998	6.090000	0.171000	0.000000	32.197998	1729	0	s	1357320436556.680908	1357320436524.482910
cn101_cn102_3142 1	32.649902	6.476000	0.150000	0.000000	32.649902	1730	0	s	1357320436557.294922	1357320436524.645020
cn104_cn102_285 1	9.625000	2.674000	0.107000	0.000000	9.625000	1813	1024	s	1357320436557.823975	1357320436548.198975
cn104_cn102_287 1	8.525879	3.242000	0.094000	0.000000	8.525879	1817	1024	s	1357320436558.669922	1357320436550.144043
cn106_cn102_268 1	8.631836	3.305000	0.099000	0.000000	8.631836	1818	2048	s	1357320436559.086914	1357320436550.455078
cn104_cn102_289 1	8.404053	3.208000	0.111000	0.000000	8.404053	1820	1024	s	1357320436559.720947	1357320436551.316895
cn104_cn102_291 1	8.338867	3.370000	0.102000	0.000000	8.338867	1821	1024	s	1357320436560.281982	1357320436551.943115
cn104_cn102_293 1	7.774170	2.861000	0.108000	0.000000	7.774170	1823	1024	s	1357320436560.654053	1357320436552.879883
cn102_cn102_470 0	5.839844	2.637000	0.566000	0.000000	5.839844	1828	512	s	1357320436560.950928	1357320436555.111084
cn107_cn102_20 1	4.473145	2.904000	0.061000	0.000000	4.473145	1831	3072	s	1357320436561.374023	1357320436556.900879
cn102_cn102_483 0	3.934814	2.821000	0.129000	0.000000	3.934814	1835	512	s	1357320436561.982910	1357320436558.048096
cn104_cn102_295 2	5.092041	2.853000	0.099000	0.000000	5.092041	1832	1024	s	1357320436562.282959	1357320436557.190918
cn106_cn102_270 1	4.749023	2.666000	0.102000	0.000000	4.749023	1834	2048	s	1357320436562.631104	1357320436557.882080
cn102_cn102_493 0	2.297852	1.300000	0.211000	0.000000	2.297852	1840	512	s	1357320436563.315918	1357320436561.018066
cn106_cn102_272 1	1.731934	0.086000	0.106000	0.000000	1.731934	1842	2048	s	1357320436563.835938	1357320436562.104004
cn102_cn102_499 0	1.549072	0.177000	0.145000	0.000000	1.549072	1844	512	s	1357320436564.457031	1357320436562.907959
cn102_cn102_502 0	1.832031	0.413000	0.492000	0.000000	1.832031	1845	512	s	1357320436565.083984	1357320436563.251953
cn102_cn102_505 0	1.725098	0.339000	0.311000	0.000000	1.725098	1846	512	s	1357320436565.666992	1357320436563.941895
cn106_cn102_274 1	1.483887	0.141000	0.100000	0.000000	1.483887	1848	2048	s	1357320436566.607910	1357320436565.124023
cn102_cn102_515 0	1.117920	0.014000	0.183000	0.000000	1.117920	1852	512	s	1357320436567.447998	1357320436566.330078
cn106_cn102_276 1	2.456055	0.104000	0.110000	0.000000	2.456055	1850	2048	s	1357320436568.302979	1357320436565.846924
cn106_cn102_278 1	3.151855	0.096000	0.109000	0.000000	3.151855	1851	2048	s	1357320436569.168945	1357320436566.017090
cn104_cn102_297 1	3.031006	0.574000	0.105000	0.000000	3.031006	1853	1024	s	1357320436569.778076	1357320436566.747070
cn106_cn102_280 1	3.038818	0.343000	0.102000	0.000000	3.038818	1854	2048	s	1357320436570.316895	1357320436567.278076
cn106_cn102_282 1	1.989014	0.275000	0.137000	0.000000	1.989014	1858	2048	s	1357320436570.841064	1357320436568.852051
cn104_cn102_299 2	2.328857	0.140000	0.119000	0.000000	2.328857	1864	1024	s	1357320436573.879883	1357320436571.551025
cn102_cn102_552 0	0.746094	0.016000	0.202000	0.000000	0.746094	1881	512	s	1357320436576.351074	1357320436575.604980
