cn101_cn107_5987 1	3009.701031	12.024000	0.107000	0.000000	3021.832031	8433	0
cn101_cn107_5988 1	3010.728066	11.834000	0.081000	0.000000	3022.643066	8425	0
cn101_cn107_5989 1	3008.618094	13.408000	0.095000	0.000000	3022.121094	8436	0
cn101_cn107_5990 1	3008.898051	13.477000	0.102000	0.000000	3022.477051	8435	0
cn101_cn107_5991 1	3009.489123	13.581000	0.081000	0.000000	3023.151123	8430	0
cn101_cn107_5992 1	3009.801908	13.762000	0.117000	0.000000	3023.680908	8426	0
cn101_cn107_5993 1	3010.277027	12.988000	0.088000	0.000000	3023.353027	8434	0
cn101_cn107_5995 1	3012.036896	12.234000	0.098000	0.000000	3024.368896	8424	0
cn101_cn107_5994 1	3010.254078	13.221000	0.105000	0.000000	3023.580078	8440	0
cn101_cn107_5996 1	3013.004082	10.447000	0.108000	0.000000	3023.559082	8444	0
cn101_cn107_5999 1	3022.759012	0.968000	0.210000	0.000000	3023.937012	8442	0
cn101_cn107_6001 1	3022.604791	0.981000	0.100000	0.000000	3023.685791	8449	0
cn101_cn107_6004 1	3022.615947	0.940000	0.165000	0.000000	3023.720947	8452	0
cn101_cn107_6007 1	3023.453957	1.035000	0.242000	0.000000	3024.730957	8441	0
cn101_cn107_6020 1	3023.103951	1.029000	0.192000	0.000000	3024.324951	8450	0
cn101_cn107_6026 1	3021.833953	2.334000	0.334000	0.000000	3024.501953	8451	0
cn101_cn107_6027 1	3021.625082	2.578000	0.106000	0.000000	3024.309082	8457	0
cn101_cn107_6028 1	3022.490084	3.905000	0.091000	0.000000	3026.486084	8448	0
cn101_cn107_6029 1	3022.228797	4.024000	0.089000	0.000000	3026.341797	8456	0
cn101_cn107_6032 1	3022.470021	4.234000	0.118000	0.000000	3026.822021	8455	0
cn101_cn107_6034 1	3021.912885	4.555000	0.089000	0.000000	3026.556885	8463	0
cn101_cn107_6035 1	3022.314924	4.804000	0.103000	0.000000	3027.221924	8458	0
cn101_cn107_6036 1	3022.055008	5.061000	0.092000	0.000000	3027.208008	8462	0
cn101_cn107_6039 1	3022.121143	5.324000	0.226000	0.000000	3027.671143	8459	0
cn101_cn107_6041 1	3021.373965	5.857000	0.083000	0.000000	3027.313965	8468	0
cn101_cn107_6042 1	3021.923941	6.054000	0.087000	0.000000	3028.064941	8460	0
cn101_cn107_6043 1	3021.230807	6.259000	0.112000	0.000000	3027.601807	8470	0
cn101_cn107_6045 1	3020.869943	6.531000	0.091000	0.000000	3027.491943	8475	0
