cn102_cn102_6370 0	0.157117	0.014000	0.074000	0.000000	0.245117	S	1671	512
cn102_cn102_6375 0	0.351072	0.094000	0.104000	0.000000	0.549072	S	1674	512
cn104_cn102_5255 2	1.368953	0.950000	0.239000	0.069000	2.626953	S	1666	1024
cn106_cn102_5405 1	1.116000	0.822000	0.184000	0.003000	2.125000	S	1670	2048
cn104_cn102_5257 2	1.215154	1.163000	0.214000	0.016000	2.608154	S	1669	1024
cn106_cn102_5407 1	1.178156	0.945000	0.229000	0.058000	2.410156	S	1673	2048
cn102_cn102_6391 0	0.269066	0.009000	0.365000	0.000000	0.643066	S	1684	512
cn104_cn102_5259 2	0.889023	0.285000	0.196000	0.004000	1.374023	S	1688	1024
cn106_cn102_5409 1	1.047975	0.301000	0.099000	0.001000	1.448975	S	1690	2048
cn102_cn102_6411 0	0.335014	0.010000	0.144000	0.000000	0.489014	S	1700	512
cn106_cn102_5411 1	0.885096	0.150000	0.136000	0.002000	1.173096	S	1701	2048
cn101_cn102_16098 1	2.705889	5.041000	0.161000	0.003000	7.910889	S	1667	0
cn101_cn102_16097 1	7.245977	0.172000	0.660000	0.048000	8.125977	S	1668	0
cn101_cn102_16105 1	2.224949	5.481000	0.191000	0.001000	7.897949	S	1672	0
cn101_cn102_16108 1	1.982037	5.666000	0.089000	0.001000	7.738037	S	1676	0
cn101_cn102_16109 1	2.538182	5.553000	0.117000	0.003000	8.211182	S	1677	0
cn101_cn102_16107 1	3.003916	6.285000	0.100000	0.000000	9.388916	S	1675	0
cn101_cn102_16110 1	3.316146	6.247000	0.086000	0.001000	9.650146	S	1678	0
cn101_cn102_16112 1	3.155816	6.170000	0.658000	0.003000	9.986816	S	1679	0
cn105.cs.uwaterloo.ca_cn102_3669 1	2.380986	0.703000	0.176000	0.001000	3.260986	S	1705	1536
cn101_cn102_16113 1	3.281119	6.308000	0.456000	0.002000	10.047119	S	1680	0
cn101_cn102_16114 1	3.478980	6.463000	0.161000	0.002000	10.104980	S	1681	0
